"Molecule","Library","chi0","chi0v","chi0v_C","chi0_C","chi1","chi1v","chi1v_C","chi1_C","Kier1","Kier2","Kier3","KierA1","KierA2","KierA3","KierFlex"
"O=C(Nc1ccc(cc1)N1CCOCC1)C1CC1","DSPL",12.372032720186704,10.393102209495101,8.629392033067417,9.38046888862398,8.826499840494924,6.56407566477367,4.426538920568458,5.282823076116512,13.005,5.969821673525376,3.1346938775510207,10.061423780000004,4.543128000000002,2.3565612342857154,2.539463116376882
"CC(=O)Nc1nnc(COc2ccccc2)s1","DSPL",12.08757566981053,10.02952677045391,6.593858127134677,7.55204176387779,8.237183443017882,5.8331188850664555,2.764236993116233,3.802095140581215,13.432098765432098,6.805293005671078,4.6390532544378695,10.366796591040512,5.159970887156309,3.4679431978438844,3.1466099178141356
"Cc1cc(NC(=O)c2ccc3nonc3c2)no1","DSPL",12.535169427003234,9.375786734649967,6.309401076758503,7.292528739883945,8.720346690612276,5.192175382121178,3.0653841409022107,4.193506678639471,13.005,5.551020408163265,2.962962962962963,8.738204062500003,3.633372608418368,1.901943769290124,1.76384173819209
"Cn1cc(CNC(=O)c2ccco2)cn1","DSPL",10.673362107437434,8.30478189906232,6.093858127134677,6.974691494688162,7.25402019542349,4.5473607774913125,2.136245461044379,2.9663264951887856,11.484375,5.365079365079366,3.2256,7.822667000000002,3.543055673469389,2.0763692032000005,1.847742979734118
"O=C(Nc1ccc2ncccc2c1)c1ccccc1","DSPL",13.079139501373252,10.206314847049708,8.850852961085886,10.664925939000154,9.326499840494924,6.039989108226096,4.854059275497024,7.024404699913708,13.959183673469388,6.6352040816326525,3.5555555555555554,8.836398006802728,4.081450536989799,2.1382338125000016,1.89817480999582
"Cc1ccc(C)c(OC(=O)c2ccncc2)c1","DSPL",12.250712376627058,9.805162060755064,8.541451884327381,9.836498814253963,8.164703797946448,5.360821022758994,4.232050807568878,5.770856947829097,13.432098765432098,6.25,3.7288941736028534,9.26552777777778,4.200869791666668,2.454674197384067,2.2896044556185333
"O=C(N1CCOCC1)c1ccc2snnc2c1","DSPL",11.664925939000154,9.943360171134259,6.560477932315068,7.2591485450643365,8.34333659290053,6.209272406868738,2.988033871712585,3.799659828522119,12.055401662049862,5.325443786982248,2.56,9.797567425107555,4.267614710563252,2.028588854549483,2.459543698301431
"Cn1ccc(n1)C(=O)NCC1CCCO1","DSPL",10.673362107437434,8.771401704242711,6.560477932315068,6.974691494688164,7.25402019542349,5.149579262668504,2.6885050488558724,3.0580782047249224,11.484375,5.365079365079366,3.2256,8.832000000000003,4.0414331065759646,2.3887872000000003,2.3795958131519286
"Cc1cc(C)cc(NC(=O)NCc2ccco2)c1","DSPL",12.957819157813608,10.48770497725203,8.671208396324303,9.836498814253963,8.631030293135234,5.788449940876284,4.040945999423631,5.4206868620901565,14.409972299168976,6.9632000000000005,4.897959183673469,10.089933008310254,4.763384025600002,3.293045683673471,2.6701236506199577
"C(N1CCOCC1)c1nc2ccccc2[nH]1","DSPL",10.794682450997076,9.147610464155022,7.3449349826912425,8.096011838247806,7.915816237971964,5.654150822522999,3.1809036597828992,4.058078204724922,11.11111111111111,5.104166666666666,2.6514047866805415,8.607011959876543,3.880615234375,1.9876268210197712,2.087531358371546
"CC(=O)N1CCC(CC1)c1c[nH]c2ccccc12","DSPL",12.535169427003233,10.647990625847768,9.292528739883947,10.250712376627058,8.75402019542349,6.5700587289173775,4.971197119306978,6.118591721508942,13.005,5.551020408163265,2.6592797783933517,9.57585792,4.007086693877551,1.891572831024931,2.1317384918718867
"CCn1cc(cn1)C(=O)NCc1ccc(F)cc1","DSPL",12.957819157813608,10.058955131983858,7.878315177510851,8.966255326250886,8.685871848001627,5.738662963856345,3.709377646015365,4.898178147766922,14.409972299168976,6.9632000000000005,4.266666666666667,9.896672204441462,4.665839105388582,2.807022828566333,2.565348899149733
"CNC(=O)c1c(C)onc1-c1ccc(F)cc1","DSPL",12.41384908344359,9.451075726195416,7.309401076758505,8.292528739883947,8.1302289553358,5.07477871559943,3.321367205045919,4.543676764378412,13.432098765432098,5.760000000000001,2.879706152433425,9.325761901604922,3.898572143766329,1.9096609954414905,2.1386562099408386
"CC(C)(C)C1CCN(CC1)C(=O)c1ccccc1","DSPL",13.173362107437432,11.647990625847767,10.792528739883945,11.596011838247806,8.482181813234284,6.826041793061085,5.765855318045499,6.755001629783599,14.409972299168976,5.969821673525376,3.75,11.509825138504155,4.700424382716049,2.9213714599609375,3.0056145956568363
"OCc1ccc(CN2CCOCC2)cc1","DSPL",10.510225400620904,8.85471724534157,7.55204176387779,8.225768350244728,7.381341395361315,5.3707353194894445,3.528473986232466,4.449489742783178,11.484375,5.915,3.5,9.707838468750001,4.935303620000001,2.889313625,3.1940753558131427
"Cn1nccc1C(=O)NCc1cccs1","DSPL",10.673362107437434,9.121278479990046,6.093858127134677,6.974691494688164,7.270856947829097,5.437079695487544,2.1809036597828992,3.0580782047249224,11.484375,5.365079365079366,2.9822485207100593,8.79166144298918,4.021451548122569,2.1969575959038545,2.3570160346985563
"CC(CO)(CO)NC(=O)Nc1ccccc1","DSPL",12.018661569058182,9.103640389785005,6.800964908321225,7.604448006685084,7.593465455661857,4.954370060975114,3.117790383709507,4.023603362114273,14.0625,6.666666666666667,4.816635160680529,10.503090281250003,4.8732923174603195,3.4642894366729693,3.199039323575487
"CC(=O)Nc1cccc(NC(N)=O)c1","DSPL",10.55204176387779,7.703247926875855,5.309401076758503,6.137828201504693,6.575387400469409,4.018290630104595,2.321367205045918,3.210343431045078,12.071428571428571,5.777777777777778,4.888888888888888,7.626340464285716,3.504865527777779,2.8739266388888898,1.9092355568836992
"COc1ccc(Nc2ncnc3[nH]cnc23)cc1","DSPL",12.372032720186702,9.713990692101493,6.964101615137755,8.129392033067417,8.864504642955707,5.417831837827946,2.321367205045918,3.299659828522119,13.005,5.969821673525376,2.962962962962963,8.515461120000005,3.8009180356652963,1.847525037037038,1.7981427640563679
"CC(C)(C)c1ccc(cc1)C(=O)Nc1ccon1","DSPL",13.173362107437434,10.72781179156544,8.964101615137755,10.052041763877789,8.465345060828676,5.7893830621865465,4.443375672974064,5.663249920247462,14.409972299168976,5.969821673525376,3.9958376690946933,10.34797080055402,4.195609271604939,2.7636700926118634,2.4120023462834235
"O=C(Nc1nnc(s1)-c1ccco1)C1CC1","DSPL",10.957819157813608,9.159283282450831,5.723614639131599,6.422285251880867,7.8264998404949235,5.826422534534944,2.8105135167840185,3.391411538058256,11.11111111111111,4.704000000000001,2.3397612488521577,8.904035630681353,3.709365196727565,1.8227888431753456,2.064269992429474
"Cn1ncc(Cl)c1C(=O)N1CCCCC1","DSPL",10.836498814253964,9.496666671113784,6.612884175122364,6.974691494688162,7.198377302757663,5.544827602121339,2.788675134594813,3.0749149571305296,11.484375,4.8884297520661155,2.397146254458977,9.785238588445699,4.113887831056244,1.996970895891192,2.683691596865916
"COC(=O)Nc1ccc(Cc2ccncc2)cc1","DSPL",12.794682450997078,10.08961911113124,8.325908934703556,9.673362107437434,8.775188245478667,5.605385282510808,3.7724909220887586,5.265986323710904,14.409972299168976,7.555555555555555,4.897959183673469,9.836218994459838,5.029670758680557,3.200255812500001,2.748496836245162
"CCC(C(=O)Nc1cnccn1)c1ccccc1","DSPL",12.794682450997078,10.205934685356961,8.40325920389318,9.673362107437432,8.808861750289882,5.927725023514538,4.225397411291142,5.5067666097086665,14.409972299168976,7.555555555555555,4.266666666666667,9.75901736565097,4.987428765625,2.7632164100000005,2.704022440760087
"CN1CCN(CC1)c1ccc(NC(C)=O)cc1","DSPL",12.25071237662706,10.440503682968474,8.637828201504695,9.38890505706126,8.147867045540842,5.96122280759514,3.321367205045918,4.210343431045078,13.432098765432098,6.25,3.9999999999999996,10.222038000000005,4.668040125000001,2.943084581632654,2.8068755025455756
"O=C(COc1ccccc1)NC1CCCCC1","DSPL",11.924438962994,10.023238883184769,8.706742302257043,9.510225400620902,8.34333659290053,6.316332133697449,5.080733574043959,6.041241452319315,13.432098765432098,7.43801652892562,5.0176,10.57595486111111,5.76171875,3.836475,3.584451613083384
"C(C1COC2(CCCCC2)O1)N1CCCC1","DSPL",10.847088693804372,10.119235038669334,8.855524862241651,8.85552486224165,7.863703305156274,6.90491234561898,5.023603362114274,5.023603362114273,11.11111111111111,4.704000000000001,2.48828125,11.11111111111111,4.704000000000001,2.48828125,3.266666666666667
"Cc1noc(C)c1C(=O)NCCC1=CCCCC1","DSPL",12.957819157813608,11.083701132736598,9.319990956308914,9.836498814253964,8.681540550352056,6.572012870887395,5.154030206245224,5.879445409770841,14.409972299168976,6.9632000000000005,3.9958376690946933,11.424090058171746,5.4390307376,3.087019782518211,3.4519987208614835
"COc1ccc(NCc2ccc(F)cc2)cc1","DSPL",12.087575669810528,9.612121698176646,8.325908934703556,9.673362107437434,8.275188245478667,5.401195863478792,3.9962878006851104,5.674234614174767,13.432098765432098,6.805293005671078,4.301783264746227,9.481517624550728,4.68875289111033,2.9068158259513064,2.6150878337779866
"CC(C)Oc1cc(N)c(Cl)cc1Cl","DSPL",10.008071689507773,8.985436205277729,5.732050807568877,6.300964908321225,6.002907755397976,4.671796036008446,2.809401076758503,3.4543603669013705,11.076923076923077,4.481481481481481,3.0,10.974075387644529,4.436200804825865,2.9676168130976506,3.7448616974529525
